Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
284110,Kita-Ioto,22447,Confirmed Eruption,,,,,2022,,3,,27,,Observations: Reported,,2022,,3,,27,,25.424,141.284
282110,Asosan,22424,Confirmed Eruption,,2,,,2021,,10,,14,,Observations: Reported,,2021,,10,,20,,32.884,131.104
284096,Nishinoshima,22407,Confirmed Eruption,,2,,,2021,,8,,14,,Observations: Reported,,2021,,8,,15,,27.247,140.874
284130,Fukutoku-Oka-no-Ba,22408,Confirmed Eruption,,4,,,2021,,8,,13,,Observations: Reported,,2021,,9,?,12,,24.285,141.481
282060,Kikai,22374,Confirmed Eruption,,1,,,2020,,10,,6,,Observations: Reported,,2020,,10,,6,,30.793,130.305
282050,Kuchinoerabujima,22391,Confirmed Eruption,,1,,,2020,,8,,29,,Observations: Reported,,2020,,8,,29,,30.443,130.217
282060,Kikai,22359,Confirmed Eruption,,1,,,2020,,4,,29,,Observations: Reported,,2020,,4,,29,,30.793,130.305
282050,Kuchinoerabujima,22345,Confirmed Eruption,,3,,,2020,,1,,11,,Observations: Reported,,2020,,5,,13,,30.443,130.217
284096,Nishinoshima,22340,Confirmed Eruption,,1,,,2019,,12,,5,,Observations: Reported,,2020,,8,,27,,27.247,140.874
282060,Kikai,22339,Confirmed Eruption,,2,,,2019,,11,,2,,Observations: Reported,,2019,,11,,2,,30.793,130.305
283110,Asamayama,22326,Confirmed Eruption,,2,,,2019,,8,,7,,Observations: Reported,,2019,,8,,25,,36.406,138.523
282110,Asosan,22317,Confirmed Eruption,,2,,,2019,,4,,16,,Observations: Reported,,2020,,6,,16,,32.884,131.104
282050,Kuchinoerabujima,22296,Confirmed Eruption,,3,,,2018,,10,,21,,Observations: Reported,,2019,,2,,3,,30.443,130.217
284096,Nishinoshima,22280,Confirmed Eruption,,1,,,2018,,7,,12,,Observations: Reported,,2018,,7,,21,,27.247,140.874
282090,Kirishimayama,22257,Confirmed Eruption,Shinmoedake,3,,,2018,,3,,1,,Observations: Reported,,2018,,6,,27,,31.934,130.862
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,Motoshiranesan,1,,,2018,,1,,23,,Observations: Reported,,2018,,1,,23,,36.618,138.528
282090,Kirishimayama,22242,Confirmed Eruption,Shinmoedake,2,,,2017,,10,,11,,Observations: Reported,,2017,,10,,17,,31.934,130.862
284096,Nishinoshima,22207,Confirmed Eruption,,2,,,2017,,4,,18,1,Observations: Reported,,2017,,8,,17,6,27.247,140.874
282080,Aira,22203,Confirmed Eruption,Minamidake summit crater,1,,,2017,,3,,25,,Observations: Reported,>,2022,,6,,3,,31.593,130.657
282110,Asosan,22174,Confirmed Eruption,,3,,,2016,,10,,7,,Observations: Reported,,2016,,11,,12,,32.884,131.104
283020,Hakoneyama,21080,Confirmed Eruption,,1,,,2015,,6,,29,,Observations: Reported,,2015,,7,,1,,35.233,139.021
283110,Asamayama,21081,Confirmed Eruption,,1,,,2015,,6,,16,,Observations: Reported,,2015,,6,,16,,36.406,138.523
282050,Kuchinoerabujima,21073,Confirmed Eruption,,3,,,2015,,5,,29,,Observations: Reported,,2015,,6,,19,,30.443,130.217
283040,Ontakesan,20964,Confirmed Eruption,Summit crater,3,,,2014,,9,,27,,Observations: Reported,,2014,,10,,14,,35.893,137.48
282110,Asosan,20960,Confirmed Eruption,Naka-dake,2,,,2014,,8,,30,,Observations: Reported,,2016,,5,,1,,32.884,131.104
282050,Kuchinoerabujima,20952,Confirmed Eruption,Shindake,1,,,2014,,8,,3,,Observations: Reported,,2014,,8,,3,,30.443,130.217
282110,Asosan,20935,Confirmed Eruption,Naka-dake,1,,,2014,,1,,13,,Observations: Reported,,2014,,2,,19,,32.884,131.104
284096,Nishinoshima,20916,Confirmed Eruption,Offshore to the SE (Niijima),2,,,2013,,11,,20,,Observations: Reported,,2015,,11,?,17,,27.247,140.874
282060,Kikai,20781,Confirmed Eruption,,1,,,2013,,6,,4,,Observations: Reported,,2013,,6,,4,,30.793,130.305
